CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
2.6,11.9,1046,166,113,1268,13.6,48.9,0.7578
2,9.4,955,103,92,972,13.3,47.7,0.7255
2.2,9,939,131,114,1074,11.9,54,0.7502
1.6,6.5,836,131,116,1110,11.2,59.6,0.7888
1.2,3.6,690,62,77,733,11.3,56.8,0.7603
1,3.3,672,62,76,730,10.7,60,0.7702
0.9,2.3,609,45,60,620,10.7,59.7,0.7648
0.7,1.1,512,16,28,422,11,56.2,0.7366
0.7,1.6,553,34,48,472,10.5,58.1,0.7353
1.1,3.2,667,98,82,730,10.2,59.6,0.7417
2,8,900,174,112,1102,10.8,57.4,0.7408
2.2,9.5,960,129,101,1028,10.5,60.6,0.7691
1.5,5,762,95,92,671,10.5,57.9,0.7352
1.6,5.2,774,104,95,664,9.5,66.8,0.7951
2.9,11.5,1034,207,128,1037,8,81.1,0.8736
2.2,8.8,933,184,126,946,8.3,79.8,0.8778
2.2,8.3,912,193,131,957,9.7,71.2,0.8569
2.9,11.2,1020,243,135,1104,9.8,67.6,0.8185
4.8,20.8,1319,281,151,1409,10.3,64.2,0.8065
6.9,27.4,1488,383,172,1704,9.7,69.3,0.8319
6.1,24,1404,351,165,1654,9.6,67.8,0.8133
3.9,12.8,1076,240,136,1285,9.1,64,0.7419
1.5,4.7,749,94,85,821,8.2,63.4,0.6905
1,2.6,629,47,53,552,8.2,60.8,0.6657
1.7,5.9,805,122,97,816,8.3,58.5,0.6438
1.9,6.4,829,133,110,832,7.7,59.7,0.6308
1.4,4.1,718,82,91,692,7.1,61.8,0.6276
0.8,1.8,571,56,71,487,6.8,62.9,0.6234
1.4,4.4,730,109,104,748,6.4,65.1,0.6316
4.4,17.9,1236,307,141,1400,7.3,63.1,0.6499
3.1,14,1118,187,122,1237,13.2,41.7,0.632
2.7,11.6,1037,216,143,1167,14.3,38.4,0.6243
2.1,10.2,986,143,113,959,15,36.5,0.6195
2.5,11,1016,160,116,983,16.1,34.5,0.6262
2.7,12.8,1078,163,123,1061,16.3,35.7,0.656
2.9,14.2,1122,190,126,1139,15.8,37,0.661
2.8,12.7,1073,178,120,1112,15.9,37.2,0.6657
